stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code
S4739,,百名入口,,26.142146,127.792544,S4739,,,
S4714,,仲村渠,,26.145256,127.792269,S4714,,,
S4610,,垣花,,26.148417,127.790818,S4610,,,
S4583,,大道,,26.144189,127.756733,S4583,,,
S4769,,前川ムラヤー前,,26.145135,127.749726,S4769,,,
S4574,,石川入口,,26.151855,127.743128,S4574,,,
S4557,,愛地入口,,26.154962,127.740940,S4557,,,
S4578,,上地原,,26.156856,127.739589,S4578,,,
S4609,,親泊商店前,,26.158511,127.737602,S4609,,,
S4564,,糸数入口,,26.148176,127.759228,S4564,,,
S4686,,玉城小学校前,,26.145871,127.764436,S4686,,,
S4611,,垣花,,26.148836,127.791006,S4611,,,
S4715,,仲村渠,,26.145495,127.792126,S4715,,,
S4740,,百名入口,,26.141886,127.792595,S4740,,,
S4738,,百名,,26.141338,127.791775,S4738,,,
S4743,,百名バスターミナル前,,26.139500,127.789500,S4743,,,
S4613,,カチャ原,,26.139205,127.786762,S4613,,,
S4680,,玉城,,26.140260,127.782755,S4680,,,
S4711,,中山,,26.138777,127.776800,S4711,,,
S4713,,中山入口,,26.140605,127.771891,S4713,,,
S4749,,富里（国道側）,,26.141546,127.769965,S4749,,,
S4584,,奥武入口,,26.137800,127.766500,S4584,,,
S4685,,玉城小学校前,,26.145816,127.764529,S4685,,,
S5713,,第二大城,,26.163410,127.756789,S5713,,,
S4705,,仲程,,26.176200,127.747600,S4705,,,
S4775,,南小学校前,,26.173900,127.746200,S4775,,,
S4628,,県営知念団地前,,26.164674,127.818489,S4628,,,
S4690,,知念,,26.160826,127.814890,S4690,,,
S4626,,久美山,,26.159054,127.813519,S4626,,,
S4621,,具志堅,,26.156126,127.809592,S4621,,,
S4786,,山里,,26.154859,127.805008,S4786,,,
S4639,,志喜屋入口,,26.152642,127.800850,S4639,,,
S4637,,志喜屋,,26.151698,127.799230,S4637,,,
S4651,,下田,,26.146612,127.795802,S4651,,,
S4741,,百名団地前,,26.142486,127.795334,S4741,,,
S4682,,玉城入口,,26.138306,127.785306,S4682,,,
S4729,,馬天自動車学校前,,26.184306,127.777144,S4729,,,
S4772,,新原入口,,26.137305,127.790813,S4772,,,
S4774,,新原ビーチ,,26.134792,127.791190,S4774,,,
S4773,,新原入口,,26.137855,127.791030,S4773,,,
S4681,,玉城入口,,26.138156,127.785312,S4681,,,
S4742,,百名団地前,,26.141918,127.794824,S4742,,,
S4652,,下田,,26.146662,127.795756,S4652,,,
S4638,,志喜屋,,26.151095,127.798444,S4638,,,
S4640,,志喜屋入口,,26.152825,127.801132,S4640,,,
S4785,,山里,,26.154865,127.804916,S4785,,,
S4620,,具志堅,,26.156129,127.809580,S4620,,,
S4627,,久美山,,26.159118,127.813495,S4627,,,
S4691,,知念,,26.160922,127.814894,S4691,,,
S4629,,県営知念団地前,,26.164928,127.818403,S4629,,,
S4132,,馬天,,26.181289,127.774951,S4132,,,
S4759,,堀川,,26.132900,127.761700,S4759,,,
S4763,,堀川橋,,26.131900,127.760500,S4763,,,
S5757,,向陽高校前,,26.127620,127.754246,S5757,,,
S4589,,大里第二団地前,,26.174192,127.751621,S4589,,,
S5758,,向陽高校前,,26.127672,127.754496,S5758,,,
S4764,,堀川橋,,26.131966,127.760636,S4764,,,
S4760,,堀川,,26.133014,127.761726,S4760,,,
S6048,,奥武入口,,26.137736,127.766566,S6048,,,
